NAME,G,M,A,C
J231221.42+143633.8_r.fits,-0.632993381756,-2.65854309329,0.194821595735,0.50336
J130850.11-004902.3_r.fits,-0.617915603213,-2.49755212158,0.198589281105,0.428549
J034240.10-062254.6_r.fits,-0.700301406301,-2.58450716384,0.19664224502,0.461924
J120003.17+081054.2_r.fits,-0.641661259488,-2.74532568263,0.167237354866,0.465328
J033733.38-063113.6_r.fits,-0.691257107433,-2.6229599437,0.12778216586,0.508675
J010709.16-003718.1_r.fits,-0.577582582807,-2.72217561646,0.120220194911,0.487226
J100811.56+422507.2_r.fits,-0.691258923924,-2.12195327619,0.199364636329,0.290187
J231644.67+132858.8_r.fits,-0.685793246634,-2.77530033087,0.259648199042,0.450625
J133305.34-010208.9_r.fits,-0.650288435347,-2.82037959319,0.125161042694,0.493699
J135429.16+541950.4_r.fits,-0.70791509698,-2.48429129572,0.130606151074,0.465517
J100213.84+114120.5_r.fits,-0.729598821704,-2.04271755136,0.494076299686,0.317562
J111353.24+044806.2_r.fits,-0.670617477564,-2.41234619361,0.25284547845,0.383055
J085618.72-002629.4_r.fits,-0.726882112456,-2.36628409522,0.143586761363,0.385291
J152645.10+334059.8_r.fits,-0.676908140897,-2.34982203212,0.178842306672,0.446789
J012529.13-000326.3_r.fits,-0.727678057458,-2.4705244888,0.149519285951,0.503955
J135314.12+002650.2_r.fits,-0.723450359137,-2.44711219118,0.173779369479,0.423051
J121808.09+060822.3_r.fits,-0.709403424488,-2.71966027422,0.167944347121,0.503276
J092639.80+455049.9_r.fits,-0.70149603179,-2.3343336026,0.218219513931,0.465401
J113252.56+433053.9_r.fits,-0.735990373693,-2.32607487946,0.204528555423,0.422143
J153838.50+365730.1_r.fits,-0.748163164187,-2.5928884007,0.164297823629,0.515444
J232327.04+141933.1_r.fits,-0.715375727552,-2.35887502583,0.140240868348,0.422124
J100431.83+380021.7_r.fits,-0.689171884159,-2.31555702659,0.132930532105,0.428095
J083726.59+400208.1_r.fits,-0.701286556198,-2.61147028162,0.169001943123,0.484256
J130850.11-004902.3_r.fits,-0.617915603213,-2.49755212158,0.198513174649,0.428549
J034240.10-062254.6_r.fits,-0.700378160084,-2.58433173125,0.196823675211,0.461924
J101006.19+120214.3_r.fits,-0.728333714256,-2.23816429084,0.29445644538,0.413243
J085038.82+301031.2_r.fits,-0.726706630629,-2.04704119179,0.299170547545,0.32764
J134250.16+471513.9_r.fits,-0.700939640725,-2.37667941874,0.2777933043,0.262661
J121326.84-000548.1_r.fits,-0.648852835216,-2.15182248581,0.266713440007,0.283579
J094636.06+081034.8_r.fits,-0.695370300202,-2.29696491783,0.322553252006,0.359859
